,email,hash_key,salt,gender,ethnicity,religion,country,faculty,clubs,events
38,yNuynlSx@msn.com,b':C\xfd\x8d\xa9(\xc9\x83\x1e\x1c\x992\x14\x81\x7fz\\\x04\xda\xf2\xf7\xf5\xb4\xc4Xi\x92\xfe\x89\xc8E^',"b'\xda\xa0\xecA\x11ev\x18\x1d\xe7\xddv\x17\xa4\xb2\xf4\x8cJ\xd9\xdd\xe4F\x0b\xd3\xfd\x1d!\xcd\xf2V,\x02'",male,pakistani,indigenous,Iran,school of engineering,"['Asian Student Association', 'Management Student Association - Marketing Club', 'Aerospace Club', 'Beats', 'Pre-Med Club']","['11704', '11863', '11374', '11921', '11829', '11905', '11919', '11909', '10896', '11878', '11373', '11571']"
39,P/uXwtZvBYVcaC@bigpond.com,b'\xa3\xe3u\x89\x98\x19\x8d=\x90\x14\xbbR6\x8b\x16\xc1\x13\rx\x1dm)\x8b\xc3u\x17\x8f\x8c\x98\x04=\x1c',b'6\xf2\xc3>\xc5\xacfj\xf4g\x9b\xf2\xb9#\xac\x8e\x07\xe7\x10\x8f\x86\r\x06\x03>hHSbP\xbd\x88',transgender,indian,muslim,East Timor,school of engineering,"['Aerospace Club', 'Billiards Club', 'UNICEF', 'Earth and Environmental Sciences Course Union', 'Age Link', 'Computer Science Course Union', 'Management Student Association - Consulting Club', 'Video Game Development Club', 'Innovate, Design, Sustain Club']","['11859', '11160', '11376', '11569', '11567', '11872', '11162', '11601', '11877', '11919', '11755', '11698', '11569', '11710', '11913']"
40,DfxP:kKlxccyNp@msn.com,"b""'\x7f\x88 K\x94\x8d\xb3\xcfh\xf3\xd6\x8f\xaaMg\xa2\xc4\xd3@\xc1e{z\x8f\xe3\x03\x0e\xd5\xb8\xbb\xe5""","b'-{\x12\x87\xa0\xeaJ\xae\xe6r.\xc4""\xac\xf8\xf8\x06\xf1\xf3\x05\xff\x8e\xefa\xee\xb8\xbb\x90\xf6\x83\x0b\x91'",female,south east asian,judaism,Panama,faculty of medicine,"['Backcountry Hunters & Anglers', 'NDP Club', 'BC Young Liberals', 'Management Student Association - Consulting Club', 'Amnesty International UBCO', 'Microbiology Course Union']","['10896', '11381', '11877', '10889', '11373', '11874', '11908', '11884', '11716', '11866', '11870']"
41,RXSulOmhTr|@gmail.com,"b'u\x9a""\x90\xe5\x14E\x9b\xa8\xd8Q\xafl\xbac\r\xbd\x87\x00\xf5C+@Z\x94^\x08\xfd\xdd\xd1r\xb2'",b'\x1d\x1dy\xaa.\x1d3s6\xe2l\x93\xa7\xb1\xfe\xc5\xfb0\xa8\xaf\xfb\xb7\xe0\xc1d\xce*\xcdmh\x04\x0e',female,french,buddhist,Angola,school of engineering,"['Young Greens of UBCO', 'MySmallHelp UBCO', ""Inclusive Men's Health Partnership"", 'Pre-Med Club', 'Backcountry Hunters & Anglers', 'Blood Club of UBCO', 'Canadian Students for Sensible Drug Policy (CSSDP)', 'Grow n Glow Club', 'Video Game Development Club', 'Pakistan Students Association', 'Wildlife Society UBCO Student Chapter', 'Jack.org UBCO Chapter', 'Amnesty International UBCO', 'Jack.org UBCO Chapter', 'Billiards Club']",['11856']
42,LJIkLgrhiaWKx@msn.com,"b""\xcd\xc0\x99\xf558'x\x05\x18\x8b\x0f\x87\xc1\x14S\xb5`q\x86\xe1j\xf1\xd4\x8df@\xf9\xfb\x00\xda,""",b'!\x91\x93\x915\xee\xff\n\x11%-f\xce)b\x15\x91\xbee2\x84\xbaP\x97\xc0\xc3\x7f\xec3\xd8m\x81',male,pakistani,jainism,Kiribati,faculty of management,"['Microbiology Course Union', ""Nepalese Scholars' Association"", 'Biochemistry Course Union']","['11882', '11878', '11787', '11165', '11371', '11861', '11882', '11127', '11375', '11159', '11298', '11904', '11916']"
43,hkSLlubO@live.com,b':\xac\xb2\tG\xb64d1m\xab7BU/\x1c\xb2\x81\xd1\n\xf74v&P\xd3Q\x04\x96GS\x93',b'>\xa9\\}\x9a3\x14\t\xbdu\xc6\x89\xcd\xdbC\xb7\xabV\xa8\xc7\xbaFd\x97N\xe6\xc5D\xf6\x9d2\xaa',male,south asian,indigenous,Sweden,faculty of science,"['French Club', 'Formula 1 Club', 'Nursing Course Union', 'Chemistry Course Union (CCU)', 'Yoga Club', 'Engineering Society at UBC', 'Chemistry Course Union (CCU)']","['11860', '11909']"
44,sgrsJWoyVDeKBo@msn.com,b'v\xa0\x03\xaf\x1f7\xc6YI\xcf\xc1.\xe6\xf1h\xa3\xf3<\x9f\xf7Z\xfa\xde\xf3\x88{%\xb5\xfcED\x1b',b'\x11\xb3n\xf0\xf0\xd6\x939\xe9\x13\xb5-W_\x07\x97\x07\xd9L\xcc\xf1\xffs\r\xbc)F\xf5\xa1\xcb\xb8\xbe',male,nepalese,hindu,Grenada,faculty of management,['Ice Cream Club'],"['11377', '11915', '11858', '10720', '11295']"
45,jWYdfcHopk@cox.net,b'\xa6\x970\xb6\xacw\x1d\x93\xdf\xdb\xd5\x83\xf9\xde\x0bd(g\xc3u\x8b\x15m\x95 G\xfb\x0c\x8b\x08\xbd\x05',b'\x0c\x1b\xd8wl\x00FW\xed\xe1\x8a\xf4dlBf\xbc\xa5\x809h^\x99\xe8\xbd6\xa4\x91*l\xcaM',female,pakistani,atheist,North Korea,faculty of arts and social sciences,"['French Club', 'Badminton Club']","['11292', '11908', '11710', '11167', '11886', '11166', '10892', '11842', '11160', '11878']"
46,zMO/TfUW@aol.com,b'\xa2\x84\xc8\x85\x9ebeF\xad\x8b-\xcd\x99<\xc4\xce\x94Z2\xa3\x95\x91\xfa\xadc\xcai\xec\x10\t\x08)',b'\x17*\xa0\xb5tI\xe0\xfe\r\xe6\xa6n\xd82\t\xca\x81\xe2BYD&\xac#f\xa8Y\xdau|\xbd\x0b',female,thai,indigenous,France,faculty of management,"['Medieval Club', 'Biochemistry Course Union', 'Vegan Club', 'NDP Club', 'Students for Healthy Alternatives and Risk Prevention (SHARP)', 'Computer Science Course Union', 'Christina Noble Foundation UBCO', 'Medieval Club', 'Model United Nations Club']","['10896', '11863', '11160', '11897', '11863', '11689', '11161', '11379', '11907', '10992', '11858', '11883']"
47,MgaJOFwLOEXcsw@aol.com,b'GdCI\xca\xa9\xbcz\xfb\xee\xc2\xfa\xe5\x8f\xe8\xde:*.\xb1l~{t\xcc\x97\xc6\xf0\x15S\x1c5',b'C\xff\x9c\xc2\x9d\xef\x93If\n\xdc~\x83\x05\xbe\x7f\xfc\x19G?y\xed\x987\xc2_0\x04+u\x0b ',male,canadian,muslim,Nigeria,faculty of science,"['Young Greens of UBCO', 'Biochemistry Course Union', 'Blood Club of UBCO', 'Management Student Association - Entrepreneur Club', 'Girls in Tech', 'Geography Course Union', 'Golf Club', 'Management Student Association - Accounting Club', 'Amnesty International UBCO', 'Horror Movie Club', 'Design Club', 'iGEM UBCO', 'African Caribbean Student Club']","['11889', '10892', '11887', '11382', '11375', '11878', '11883', '11829', '11874', '11877', '11296', '11377', '11930']"
48,"fm,UoM@msn.com","b'\xa6\x91\x15\xf2\xbf}\x07\x89\xde{Fi1k]\xc2\xc1\xcd}\xbbx\xe9\xe5\x93~\xc5,5\xda\x14S/'",b'\xf7\xc2n\x1c\x91D\x02\xd8\x13^\xfa[\xf1\x8eZ\xb7\xae:\x05a5Q\xf3\xbfU\x0e\xd0\xec\xb2<\x99\x83',female,asian,hindu,Bangladesh,faculty of medicine,"['Pakistan Students Association', 'Rock N Roll Club']","['11904', '11870', '11127', '11298', '10896', '11567', '11291', '11873', '11381', '11829', '11573', '11289', '11842', '11673', '11875']"
49,ZThbX@rediffmail.com,b'[6\xd3\xf3Z\xeb?\x80\x95\xfe\x8f0\x16\xed\xd8\x92\xeb@\xd7\xeb\r\xd7\xb0;|\x94\x86\x89\xfd\x94\xbd\x1f',"b'\xefGB\xa3\xb2>\xfep\xf8\x10\xb6\xb7B\xb2*tw\x8d\xf2p\x93roH\x03\xc7\xee\x83,\x91i\x14'",female,thai,judaism,Kiribati,faculty of health and social development,"['Thai Erawan Club', 'Environmental Chemistry Course Union', 'Golf Club', 'Urban Dance Club', 'Chemistry Course Union (CCU)', 'Pre-Law Society', ""Inclusive Men's Health Partnership"", 'Enactus UBCO', 'Pakistan Students Association', 'Photography Association', 'Pre-Med Club', 'Photography Association', 'Earth and Environmental Sciences Course Union', 'Astronomy Club', 'Aerospace Club']","['11861', '11159', '11818', '11163']"
